Variable,RF_Importance,GB_Importance,Correlation,Abs_Correlation,RF_Importance_Norm,GB_Importance_Norm,Correlation_Norm,Combined_Score
assumptive_language_used,0.007455629905282108,3.3085319790707484e-05,0.0,0.0,0.02942496131373118,3.650011236791079e-05,0.0,0.01031151149913468
average_monologue_length,0.004286994658864343,0.0016976809696726157,0.005396902333465001,0.005396902333465001,0.016919382210735204,0.0018729015330635611,0.008547987809031293,0.009141695653038955
call_result_tag,0.004474470098438775,1.7190295624624914e-08,0.0,0.0,0.01765928717206438,1.8964535507153925e-08,0.0,0.00618075714780996
TO_Event_O,0.0031098486516095997,0.0008739576746372709,0.0,0.0,0.012273567415187982,0.0009641603445531116,0.0,0.004633204715909382
talk_ratio_classification,0.003330323749851247,4.1000294041309234e-10,0.0,0.0,0.013143711362623645,4.523200468038061e-10,0.0,0.004600299135230292
LQ_Service,0.0018077666354313062,0.004375354342703603,0.0,0.0,0.007134670576141938,0.004826942165539002,0.0,0.004186564459588329
primary_disconnect_reason,0.002023839967977865,0.0025753199716918264,0.0,0.0,0.007987442177184934,0.0028411231611089847,0.0,0.003789997868402871
sentiment_opening,0.0022009300881194595,0.0007675522639782315,0.0,0.0,0.008686359639614054,0.0008467726490380917,0.0,0.0033365963010282508
service,0.0016337281669622742,0.0026534461835189356,0.0,0.0,0.006447796996463023,0.0029273129131986595,0.0,0.003281288468381589
TO_OMC_Call_Date_O,0.002332232873870455,0.00012623016075214878,0.0,0.0,0.009204569293284086,0.0001392585920528698,0.0,0.0032703397598679343
sentiment_closing,0.002140059809298991,0.00048499562150895997,0.0,0.0,0.008446124324529626,0.0005350528510833303,0.0,0.0031434120114645346
advanced_discovery_used,0.0021106159654872034,0.0005610513625601756,0.0,0.0,0.0083299189902928,0.0006189584355587081,0.0,0.0031321070990480275
conversation_balance,0.002143493577183151,0.0,0.0,0.0,0.008459676296453576,0.0,0.0,0.0029608867037587516
LQ_Customer_Name,0.0010910096168652511,0.003204919222790968,0.0,0.0,0.004305862304997819,0.0035357044303015394,0.0,0.0027445483573547754
notable_sentiment_shifts,0.0016393308462534742,0.0012349869077507118,0.0,0.0,0.006469908960641933,0.0013624520237661497,0.0,0.002741326344542829
interruption_pattern,0.001975669224587995,2.7961197854991407e-06,0.0,0.0,0.007797327823507535,3.0847121022394346e-06,0.0,0.002730144387463421
LQ_User,0.0016626862515825337,8.071339362845902e-10,0.0,0.0,0.006562085196185384,8.904396136021667e-10,0.0,0.002296730130318749
omc_agent_sentiment_style,0.0014169383169901652,0.000579553875811009,0.0,0.0,0.005592197532745071,0.0006393706249229426,0.0,0.0021810488551838045
