Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
timeline_mentions_final_2min,1,4,7,11,36.36,63.64,27.27,2.0731,0.1499,No,Favors Long Calls,13.64
customer_sentiment_lgs,unknown,7,4,11,63.64,36.36,-27.27,0.0,1.0,No,Favors Short Calls,13.64
TO_User_M,JERECHOCALOPE,14,8,22,63.64,36.36,-27.27,0.0001,0.9939,No,Favors Short Calls,13.64
customer_marketing_experience,unknown,7,4,11,63.64,36.36,-27.27,0.0,1.0,No,Favors Short Calls,13.64
timezone,Eastern,43,25,68,63.24,36.76,-26.47,0.0747,0.7846,No,Favors Short Calls,13.24
TO_OMC_User,MANUELRAMIREZ,7,12,19,36.84,63.16,26.32,4.3442,0.0371,Yes,Favors Long Calls,13.16
call_result_tag,Hard Decline,5,3,8,62.5,37.5,-25.0,0.0,1.0,No,Favors Short Calls,12.5
ready_to_transfer,unknown,5,3,8,62.5,37.5,-25.0,0.0,1.0,No,Favors Short Calls,12.5
who_said_hello_first_lgs,Agent,70,42,112,62.5,37.5,-25.0,0.0991,0.7529,No,Favors Short Calls,12.5
timeline_mentions_final_2min,2,3,5,8,37.5,62.5,25.0,1.0939,0.2956,No,Favors Long Calls,12.5
contract_mentions_final_2min,0,94,57,151,62.25,37.75,-24.5,0.9795,0.3223,No,Favors Short Calls,12.25
within_45_seconds,Yes,54,33,87,62.07,37.93,-24.14,0.0035,0.953,No,Favors Short Calls,12.07
price_mentions_final_2min,1,5,8,13,38.46,61.54,23.08,2.1552,0.1421,No,Favors Long Calls,11.54
Calls Count,1,57,36,93,61.29,38.71,-22.58,0.0,1.0,No,Favors Short Calls,11.29
lgs_sentiment_style,N/A - No Interaction,11,7,18,61.11,38.89,-22.22,0.0,1.0,No,Favors Short Calls,11.11
omc_who_said_hello_first,Agent,79,51,130,60.77,39.23,-21.54,0.0063,0.9366,No,Favors Short Calls,10.77
within_45_seconds,No,41,27,68,60.29,39.71,-20.59,0.0035,0.953,No,Favors Short Calls,10.29
time_to_reason_seconds,9.0,6,4,10,60.0,40.0,-20.0,0.0,1.0,No,Favors Short Calls,10.0
is_decision_maker,No,9,6,15,60.0,40.0,-20.0,0.0,1.0,No,Favors Short Calls,10.0
season_status,unknown,15,10,25,60.0,40.0,-20.0,0.0,1.0,No,Favors Short Calls,10.0
LQ_Service,Handyman Services,3,2,5,60.0,40.0,-20.0,0.0,1.0,No,Favors Short Calls,10.0
forbidden_industry,No,90,60,150,60.0,40.0,-20.0,1.795,0.1803,No,Favors Short Calls,10.0
TO_OMC_Disposiion,NI,27,18,45,60.0,40.0,-20.0,0.0009,0.9766,No,Favors Short Calls,10.0
